EXTRA,DATA_TYPE,COLUMN_KEY,COLUMN_TYPE,IS_NULLABLE,IS_GENERATED,TABLE_SCHEMA,PRIVILEGES,TABLE_NAME,NUMERIC_SCALE,TABLE_CATALOG,COLUMN_NAME,COLLATION_NAME,COLUMN_COMMENT,COLUMN_DEFAULT,ORDINAL_POSITION,NUMERIC_PRECISION,CHARACTER_SET_NAME,DATETIME_PRECISION,GENERATION_EXPRESSION,CHARACTER_OCTET_LENGTH,CHARACTER_MAXIMUM_LENGTH
<blank>,varchar,<blank>,varchar(3),YES,NEVER,information_schema,select,ENGINES,NULL,def,XA,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,9,3
<blank>,varchar,<blank>,varchar(3),YES,NEVER,information_schema,select,ENGINES,NULL,def,SAVEPOINTS,utf8mb3_general_ci,<blank>,NULL,6,NULL,utf8mb3,NULL,NULL,9,3
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,EVENTS,NULL,def,EVENT_CATALOG,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,EVENTS,NULL,def,EVENT_SCHEMA,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,EVENTS,NULL,def,EVENT_NAME,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(384),NO,NEVER,information_schema,select,EVENTS,NULL,def,DEFINER,utf8mb3_general_ci,<blank>,NULL,4,NULL,utf8mb3,NULL,NULL,1152,384
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,EVENTS,NULL,def,TIME_ZONE,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(8),NO,NEVER,information_schema,select,EVENTS,NULL,def,EVENT_BODY,utf8mb3_general_ci,<blank>,NULL,6,NULL,utf8mb3,NULL,NULL,24,8
<blank>,longtext,<blank>,longtext,NO,NEVER,information_schema,select,EVENTS,NULL,def,EVENT_DEFINITION,utf8mb3_general_ci,<blank>,NULL,7,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,varchar,<blank>,varchar(9),NO,NEVER,information_schema,select,EVENTS,NULL,def,EVENT_TYPE,utf8mb3_general_ci,<blank>,NULL,8,NULL,utf8mb3,NULL,NULL,27,9
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,EVENTS,NULL,def,EXECUTE_AT,NULL,<blank>,NULL,9,NULL,NULL,0,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(256),YES,NEVER,information_schema,select,EVENTS,NULL,def,INTERVAL_VALUE,utf8mb3_general_ci,<blank>,NULL,10,NULL,utf8mb3,NULL,NULL,768,256
<blank>,varchar,<blank>,varchar(18),YES,NEVER,information_schema,select,EVENTS,NULL,def,INTERVAL_FIELD,utf8mb3_general_ci,<blank>,NULL,11,NULL,utf8mb3,NULL,NULL,54,18
<blank>,varchar,<blank>,varchar(8192),NO,NEVER,information_schema,select,EVENTS,NULL,def,SQL_MODE,utf8mb3_general_ci,<blank>,NULL,12,NULL,utf8mb3,NULL,NULL,24576,8192
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,EVENTS,NULL,def,STARTS,NULL,<blank>,NULL,13,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,EVENTS,NULL,def,ENDS,NULL,<blank>,NULL,14,NULL,NULL,0,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(18),NO,NEVER,information_schema,select,EVENTS,NULL,def,STATUS,utf8mb3_general_ci,<blank>,NULL,15,NULL,utf8mb3,NULL,NULL,54,18
<blank>,varchar,<blank>,varchar(12),NO,NEVER,information_schema,select,EVENTS,NULL,def,ON_COMPLETION,utf8mb3_general_ci,<blank>,NULL,16,NULL,utf8mb3,NULL,NULL,36,12
<blank>,datetime,<blank>,datetime,NO,NEVER,information_schema,select,EVENTS,NULL,def,CREATED,NULL,<blank>,NULL,17,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,NO,NEVER,information_schema,select,EVENTS,NULL,def,LAST_ALTERED,NULL,<blank>,NULL,18,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,EVENTS,NULL,def,LAST_EXECUTED,NULL,<blank>,NULL,19,NULL,NULL,0,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,EVENTS,NULL,def,EVENT_COMMENT,utf8mb3_general_ci,<blank>,NULL,20,NULL,utf8mb3,NULL,NULL,192,64
<blank>,bigint,<blank>,bigint(10),NO,NEVER,information_schema,select,EVENTS,0,def,ORIGINATOR,NULL,<blank>,NULL,21,19,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(32),NO,NEVER,information_schema,select,EVENTS,NULL,def,CHARACTER_SET_CLIENT,utf8mb3_general_ci,<blank>,NULL,22,NULL,utf8mb3,NULL,NULL,96,32
<blank>,varchar,<blank>,varchar(32),NO,NEVER,information_schema,select,EVENTS,NULL,def,COLLATION_CONNECTION,utf8mb3_general_ci,<blank>,NULL,23,NULL,utf8mb3,NULL,NULL,96,32
<blank>,varchar,<blank>,varchar(32),NO,NEVER,information_schema,select,EVENTS,NULL,def,DATABASE_COLLATION,utf8mb3_general_ci,<blank>,NULL,24,NULL,utf8mb3,NULL,NULL,96,32
<blank>,bigint,<blank>,bigint(4),NO,NEVER,information_schema,select,FILES,0,def,FILE_ID,NULL,<blank>,NULL,1,19,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(512),YES,NEVER,information_schema,select,FILES,NULL,def,FILE_NAME,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,1536,512
<blank>,varchar,<blank>,varchar(20),NO,NEVER,information_schema,select,FILES,NULL,def,FILE_TYPE,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,60,20
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,FILES,NULL,def,TABLESPACE_NAME,utf8mb3_general_ci,<blank>,NULL,4,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,FILES,NULL,def,TABLE_CATALOG,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,FILES,NULL,def,TABLE_SCHEMA,utf8mb3_general_ci,<blank>,NULL,6,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,FILES,NULL,def,TABLE_NAME,utf8mb3_general_ci,<blank>,NULL,7,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,FILES,NULL,def,LOGFILE_GROUP_NAME,utf8mb3_general_ci,<blank>,NULL,8,NULL,utf8mb3,NULL,NULL,192,64
<blank>,bigint,<blank>,bigint(4),YES,NEVER,information_schema,select,FILES,0,def,LOGFILE_GROUP_NUMBER,NULL,<blank>,NULL,9,19,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,FILES,NULL,def,ENGINE,utf8mb3_general_ci,<blank>,NULL,10,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,FILES,NULL,def,FULLTEXT_KEYS,utf8mb3_general_ci,<blank>,NULL,11,NULL,utf8mb3,NULL,NULL,192,64
<blank>,bigint,<blank>,bigint(4),YES,NEVER,information_schema,select,FILES,0,def,DELETED_ROWS,NULL,<blank>,NULL,12,19,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),YES,NEVER,information_schema,select,FILES,0,def,UPDATE_COUNT,NULL,<blank>,NULL,13,19,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),YES,NEVER,information_schema,select,FILES,0,def,FREE_EXTENTS,NULL,<blank>,NULL,14,19,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),YES,NEVER,information_schema,select,FILES,0,def,TOTAL_EXTENTS,NULL,<blank>,NULL,15,19,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),NO,NEVER,information_schema,select,FILES,0,def,EXTENT_SIZE,NULL,<blank>,NULL,16,19,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,FILES,0,def,INITIAL_SIZE,NULL,<blank>,NULL,17,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,FILES,0,def,MAXIMUM_SIZE,NULL,<blank>,NULL,18,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,FILES,0,def,AUTOEXTEND_SIZE,NULL,<blank>,NULL,19,20,NULL,NULL,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,FILES,NULL,def,CREATION_TIME,NULL,<blank>,NULL,20,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,FILES,NULL,def,LAST_UPDATE_TIME,NULL,<blank>,NULL,21,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,FILES,NULL,def,LAST_ACCESS_TIME,NULL,<blank>,NULL,22,NULL,NULL,0,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),YES,NEVER,information_schema,select,FILES,0,def,RECOVER_TIME,NULL,<blank>,NULL,23,19,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),YES,NEVER,information_schema,select,FILES,0,def,TRANSACTION_COUNTER,NULL,<blank>,NULL,24,19,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,FILES,0,def,VERSION,NULL,<blank>,NULL,25,20,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(10),YES,NEVER,information_schema,select,FILES,NULL,def,ROW_FORMAT,utf8mb3_general_ci,<blank>,NULL,26,NULL,utf8mb3,NULL,NULL,30,10
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,FILES,0,def,TABLE_ROWS,NULL,<blank>,NULL,27,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,FILES,0,def,AVG_ROW_LENGTH,NULL,<blank>,NULL,28,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,FILES,0,def,DATA_LENGTH,NULL,<blank>,NULL,29,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,FILES,0,def,MAX_DATA_LENGTH,NULL,<blank>,NULL,30,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,FILES,0,def,INDEX_LENGTH,NULL,<blank>,NULL,31,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,FILES,0,def,DATA_FREE,NULL,<blank>,NULL,32,20,NULL,NULL,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,FILES,NULL,def,CREATE_TIME,NULL,<blank>,NULL,33,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,FILES,NULL,def,UPDATE_TIME,NULL,<blank>,NULL,34,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,FILES,NULL,def,CHECK_TIME,NULL,<blank>,NULL,35,NULL,NULL,0,NULL,NULL,NULL
